trade_date,open,high,low,close,volume,amount,ma_5,ma_10,ma_20,ma_30,breadth,heat_z,etf_turnover
20190619,4902.9598,4931.1098,4856.9033,4858.9164,98274376.0,88246816.061,4826.41178,4808.48966,4856.944750000001,4902.393796666667,53.106212424849694,0.9191938327713565,6.8861095406455695
20190620,4853.2088,4987.5951,4837.1763,4954.7338,119695961.0,102804340.132,4841.82844,4825.58059,4855.861795,4902.62686,74.54909819639278,2.0004440092299847,5.941603724092591
20190621,4973.5853,5045.7149,4973.5853,5021.3051,122814214.0,106832740.483,4886.984119999999,4859.83266,4863.28104,4907.056603333333,88.17635270541082,1.9856256466174722,6.667477626722325
20190624,5032.3746,5038.4798,4996.1699,5024.2046,99620157.0,86442218.789,4931.26134,4889.72669,4872.403405,4905.719323333334,85.37074148296593,0.38072144862374685,2.9226754780446065
20190625,5020.2009,5020.2009,4910.1971,4974.9882,99202180.0,85713850.537,4966.8296199999995,4897.07828,4873.005465,4904.688783333333,76.95390781563127,0.3081698784907558,3.8500255221784547
20190626,4943.7751,4991.1275,4928.733,4962.5936,70035687.0,64206718.431,4987.56506,4906.98842,4873.36087,4904.588156666666,75.75150300601202,-1.2188015863811428,1.9998449726926466
20190627,4974.9859,5030.3718,4972.6702,5007.4833,81631266.0,77117707.879,4998.11496,4919.9717,4875.891845,4902.285766666667,82.16432865731463,-0.2608570945704337,2.839662086751301
20190628,5005.1921,5005.1921,4920.4349,4950.4798,77164628.0,70271421.892,4983.9499000000005,4935.467009999999,4877.095685,4897.023133333334,64.92985971943888,-0.7158254277290802,2.786706193047128
20190701,5044.6638,5100.2619,5016.2363,5100.2619,111630214.0,108157182.514,4999.16136,4965.21135,4886.508755,4902.279223333333,91.2,1.7512700998141868,4.265085864552286
20190702,5092.8418,5102.4091,5066.2507,5084.41,97080637.0,91618108.605,5021.04572,4993.93767,4898.03849,4907.640926666666,88.2,0.621140948686769,3.18614272296497
20190703,5074.7097,5074.7097,5021.8958,5040.7227,85358589.0,79210212.964,5036.67154,5012.1183,4910.30398,4908.669266666667,79.4,-0.2001074948932381,2.5301377535362928
20190704,5046.883,5067.997,5002.3322,5025.0207,80147189.0,72016475.806,5040.1790200000005,5019.146989999999,4922.36379,4910.290193333333,74.2,-0.6695260798883513,2.035001234762839
20190705,5026.3316,5055.0145,5001.5234,5042.6599,64904141.0,60552010.317,5058.61504,5021.28247,4940.557565,4915.948183333333,73.8,-1.3410745723783328,1.7605746493103043
20190708,5028.6349,5028.6349,4855.2148,4870.7807,91766077.0,81431278.978,5012.718800000001,5005.94008,4947.833385,4916.91563,31.2,-0.0789703538594902,3.3434569891649404
20190709,4868.475,4892.5583,4838.9366,4881.6235,61012512.0,56755420.859,4972.1615,4996.60361,4946.840945,4914.204846666666,29.799999999999997,-1.5144323004445714,2.1411956902806746
20190710,4891.9111,4896.0413,4829.2848,4843.8649,60795192.0,55261260.669,4932.78994,4984.730740000001,4945.859579999999,4910.484160000001,26.0,-1.4302887048878563,2.031057213516501
20190711,4867.6825,4905.1604,4821.5516,4844.5474,62628484.0,56483156.357,4896.69528,4968.43715,4944.204425000001,4906.74028,23.599999999999998,-1.229021531245906,2.2094880770690395
20190712,4848.222,4874.3204,4820.6635,4861.5679,61479398.0,54064544.425,4860.47688,4959.54596,4947.506485,4904.579110000001,26.400000000000002,-1.2343540712492072,1.7046049730257131
20190715,4850.8904,4951.6237,4787.9062,4925.3243,84594481.0,75865112.765,4871.3856,4942.0522,4953.631775,4905.023236666666,33.800000000000004,-0.035614228161281604,4.196448051656407
20190716,4917.7931,4940.2313,4909.6633,4932.0458,68924962.0,60958972.155,4881.47006,4926.81578,4960.376725,4907.6309200000005,36.0,-0.9130959199457414,1.7399952544770163
20190717,4930.6466,4953.4093,4914.4924,4929.085,75361088.0,65860765.216,4898.514079999999,4915.65201,4963.885155,4912.086656666666,34.599999999999994,-0.5658902979699376,1.5338180081111075
20190718,4909.7172,4909.7172,4843.5134,4844.1087,72636158.0,59848894.329,4898.42634,4897.560810000001,4958.3539,4914.09613,19.400000000000002,-0.8357178868082836,1.7085693173560377
20190719,4861.2125,4920.4135,4861.2031,4878.6903,68597298.0,57390762.231,4901.850820000001,4881.163849999999,4951.22316,4920.75966,25.4,-0.9306621547844123,2.672662210234165
20190722,4885.4293,4886.402,4766.0716,4776.5749,72191578.0,61198813.615,4872.10094,4871.74327,4938.841675,4922.4700133333345,14.399999999999999,-0.5960939231419882,2.7977610252961385
20190723,4778.0529,4823.9182,4778.0529,4823.9182,54729263.0,48300963.63,4850.475420000001,4865.972739999999,4931.288175,4919.884876666666,22.2,-1.3466757715368953,1.7639124702059208
20190724,4837.7669,4898.8054,4837.7669,4873.0271,69451383.0,63586100.131,4839.26384,4868.888959999999,4926.80985,4920.202706666667,28.999999999999996,-0.29025113855134205,2.5585356320272656
20190725,4873.1742,4899.715,4861.7715,4891.6432,67384418.0,65540811.956,4848.77074,4873.598540000001,4921.017845,4920.669129999999,30.4,-0.11693632390180728,1.9132492400386725
20190726,4880.7194,4902.0916,4868.197,4898.1099,59252777.0,57190685.291,4852.65466,4877.25274,4918.399350000001,4924.088570000001,32.2,-0.6465264600823563,1.800054542800476
20190729,4897.6519,4914.48,4872.545,4897.0183,56581521.0,54815760.177,4876.74334,4874.422140000001,4908.23717,4927.228563333334,32.0,-0.8327171114071535,1.5228592187004097
20190730,4902.8411,4961.0247,4902.7813,4922.9175,71194127.0,65553974.536,4896.5432,4873.5093099999995,4900.162545,4931.4209200000005,42.6,0.33759952636491375,2.013651126022484
20190731,4914.044,4921.7224,4892.5557,4903.203,62754547.0,58776188.915,4902.578380000001,4870.92111,4893.2865600000005,4932.89714,41.0,-0.3551595109267935,2.072150330730397
20190801,4877.5573,4900.0866,4850.5281,4870.469,64332504.0,61801931.692,4898.34354,4873.55714,4885.558975,4930.088313333333,34.599999999999994,0.0989106533610867,2.0761058290120933
20190802,4773.4302,4816.8104,4756.4044,4809.9198,79002361.0,73848047.875,4880.7055199999995,4866.68009,4873.92197,4923.042136666667,26.0,1.5138981585011893,3.219523001926087
20190805,4795.9105,4838.7588,4749.9444,4751.9846,71612542.0,69025913.447,4851.69878,4864.221060000001,4867.982164999999,4913.968136666666,21.2,1.16676061788043,3.216890957482809
20190806,4665.8404,4684.5159,4558.0604,4650.5627,98667866.0,84239326.256,4797.22782,4846.88551,4856.429125000001,4903.153953333333,14.799999999999999,2.5777108812140126,5.988488337545939
20190807,4678.4283,4686.7321,4624.7423,4626.3641,67417406.0,62344725.908,4741.86004,4822.21921,4845.554085000001,4891.946303333333,13.600000000000001,-0.05926236313828108,2.407387375038011
20190808,4641.8665,4663.032,4636.2385,4656.1009,60077796.0,56743200.907,4698.98642,4798.66498,4836.131759999999,4880.233556666667,16.400000000000002,-0.7391608891867543,2.332072640921179
20190809,4677.2477,4690.654,4593.2238,4600.3526,64443337.0,64477323.102,4657.07298,4768.88925,4823.070995,4868.562649999999,12.6,0.1386117746282286,2.5093718743923836
20190812,4608.1166,4685.045,4591.6615,4685.045,61946507.0,62148044.563,4643.685060000001,4747.691919999999,4811.05703,4854.722086666667,19.2,-0.07183569747710927,2.096130310705755
20190813,4649.349,4667.715,4638.0294,4658.3884,58691317.0,57730564.572,4645.2502,4721.23901,4797.37416,4840.521366666667,17.4,-0.6374837858479944,1.5603115729382933
